[21.15451162 18.51980854] ,  [0.23347051 0.48793533]
[0.12325052 0.0270878 ] ,  [0.02677817 0.0209608 ]
[-0.42938695 -0.07327983] ,  [0.06832962 0.0728431 ]
[21.15451162 20.72560691] ,  [0.23347051 0.41437549]
[0.12325052 0.14674892] ,  [0.02677817 0.0242273 ]
[-0.42938695 -0.35890886] ,  [0.06832962 0.093899  ]
[21.13619978 18.81483592] ,  [0.27633747 0.32571028]
[ 0.12964134 -0.09083472] ,  [0.02614399 0.02192686]
[-0.43811596  0.27715146] ,  [0.06972745 0.0562045 ]
[21.15451162 20.64370259] ,  [0.23347051 0.30754852]
[0.12325052 0.13668606] ,  [0.02677817 0.01928047]
[-0.42938695 -0.29508729] ,  [0.06832962 0.07571762]
